BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
24719,Pioneer Rd,TUAS WEST RD STN EXIT A,1.330051,103.639332,TUAS
25009,Tuas West Dr,Tuas Ter,1.34499542766088,103.63920357507963,TUAS
25059,Tuas Sth Way,Aft Tuas Sth Blvd,1.270007,103.61725,TUAS
25061,Tuas Ave 9,Kyocera Chemical,1.32758500003063,103.64528750001706,TUAS
25069,Tuas Ave 9,Opp Kyocera Chemical,1.32751179627799,103.645518021535,TUAS
25071,Tuas Ave 9,Opp Nissin Trspt,1.32958277801799,103.6432063890228,TUAS
25079,Tuas Ave 9,Nissin Trspt,1.32944568983893,103.64347153803386,TUAS
25091,Tuas Ave 12,Aft Tuas Ave 7,1.33443305603142,103.64520499998908,TUAS
25099,Tuas Ave 12,Opto-Pharm,1.33392910725335,103.6449493341418,TUAS
25101,Tuas Ave 1,Opp SMC Mfg,1.33428472907824,103.64783751324052,TUAS
25109,Tuas Ave 1,SMC Mfg,1.33462333299665,103.64732250002416,TUAS
25111,Tuas Ave 1,Aft Tuas Ave 10,1.33239888543698,103.64981610844488,TUAS
25119,Tuas Ave 1,Bef Tuas Ave 10,1.33212638903277,103.64991694402984,TUAS
25121,Tuas Ave 1,Aft Tuas Ave 8,1.33060763294167,103.651696635235,TUAS
25129,Tuas Ave 1,Aft Tuas Ave 6,1.32994444402601,103.65226388900422,TUAS
25151,Tuas Ave 1,Mercedes-Benz Logistics,1.32913728132074,103.65325524319752,TUAS
25161,Tuas Ave 1,Toyochem Ink,1.32735422944929,103.65510623174904,TUAS
25169,Tuas Ave 1,Opp Galmon S'pore,1.32774944401039,103.6545005560022,TUAS
25171,Tuas Ave 1,Becton Dickinson Med,1.32546645428693,103.65711196773576,TUAS
25179,Tuas Ave 1,Sew-Eurodrive,1.32529138897633,103.65711333297114,TUAS
25181,Tuas Ave 1,MAN Diesel,1.32385296919519,103.65881324089644,TUAS
25189,Tuas Ave 1,Soon Heng Glass,1.32383972198116,103.65861666698132,TUAS
25191,Tuas Ave 1,Asiatic Engrg,1.32129979633271,103.6596844024505,TUAS
25199,Tuas Ave 1,Bestofire and Thermal,1.32109472197296,103.65933166702904,TUAS
25201,Tuas Ave 3,Aft Tuas Rd,1.31926000001423,103.65870833303144,TUAS
25209,Tuas Ave 3,Bef Tuas Rd,1.31930805600666,103.65880916700372,TUAS
25219,Jln Ahmad Ibrahim,Aft Tuas Ave 2,1.32877104016653,103.65692226679496,TUAS
